? checkElements(11, 28, 40)

N = 11

Cycle #1
[a, b] = [1, 1]    -3.1689909824290732304 E-58
[a, b] = [1, 2]    3.2182338870093423518668364515484882503 E-44
[a, b] = [1, 3]    -3.231639007120096861 E-44
[a, b] = [1, 4]    1.3194299944869623500 E-44
[a, b] = [1, 5]    3.914757489272650086 E-58
[a, b] = [2, 2]    -7.809873435872499957 E-59
[a, b] = [2, 3]    -9.164516975390674877 E-45
[a, b] = [2, 4]    -1.8621301276507053216628865111728004019 E-45
[a, b] = [2, 5]    -1.1357881072793561449 E-44
[a, b] = [3, 3]    -1.0259171097821350407 E-58
[a, b] = [3, 4]    2.143251358858947696 E-59
[a, b] = [3, 5]    -4.192492867024693322 E-58
[a, b] = [4, 4]    -5.099571011562567996 E-59
[a, b] = [4, 5]    1.3220011200441389050 E-44
[a, b] = [5, 5]    -3.669846006700428405 E-58

N = 12

N = 13

Cycle #1
[a, b] = [1, 1]    -5.700672320516383382 E-59
[a, b] = [1, 2]    6.5067751361899073766157225961673836617 E-45
[a, b] = [1, 3]    -1.9385101018851999589 E-44
[a, b] = [1, 4]    -1.0600433940795292225 E-44
[a, b] = [1, 5]    5.655175027545646845 E-44
[a, b] = [1, 6]    5.389085913971805403 E-60
[a, b] = [2, 2]    1.1933404588295850587 E-59
[a, b] = [2, 3]    -1.9471644836217186068 E-44
[a, b] = [2, 4]    2.3589292545775498790686552249805780628 E-44
[a, b] = [2, 5]    2.516620459851463803 E-44
[a, b] = [2, 6]    -1.3987277721862928954 E-44
[a, b] = [3, 3]    -2.652939804488571844 E-59
[a, b] = [3, 4]    2.370234774620520119 E-44
[a, b] = [3, 5]    -5.393094230792831122 E-59
[a, b] = [3, 6]    -2.253082007027106791 E-44
[a, b] = [4, 4]    4.374410383718164526 E-59
[a, b] = [4, 5]    -1.1976040514631369335 E-59
[a, b] = [4, 6]    -1.1715276759333490050 E-45
[a, b] = [5, 5]    1.5790122802222168264 E-58
[a, b] = [5, 6]    -1.1178926876644579987 E-44
[a, b] = [6, 6]    -1.3915315630478909297 E-58

Cycle #2
[a, b] = [1, 1]    -1.4229966855077730596 E-58
[a, b] = [1, 2]    -1.7908576238552078654337814018844783719 E-44
[a, b] = [1, 3]    -3.063218393991365248 E-44
[a, b] = [1, 4]    -7.646733597423947951 E-45
[a, b] = [1, 5]    5.414393726176228781 E-44
[a, b] = [1, 6]    -5.227826117054065524 E-59
[a, b] = [2, 2]    2.864785091326264509 E-59
[a, b] = [2, 3]    1.0647661520361236285 E-44
[a, b] = [2, 4]    2.4262604148775362332494574804290449736 E-44
[a, b] = [2, 5]    3.920787491059447820 E-44
[a, b] = [2, 6]    -2.0759383580372820849 E-44
[a, b] = [3, 3]    0.E-58
[a, b] = [3, 4]    2.465730096028696849 E-44
[a, b] = [3, 5]    -9.128640241469058889 E-59
[a, b] = [3, 6]    -1.8095300664290350108821829388483936864 E-44
[a, b] = [4, 4]    7.803464434452531211 E-59
[a, b] = [4, 5]    -4.609243242908095328 E-59
[a, b] = [4, 6]    -6.562000296006609285 E-45
[a, b] = [5, 5]    8.377821152835191296 E-59
[a, b] = [5, 6]    -1.8448491330217555137 E-44
[a, b] = [6, 6]    -1.4474664532937561528 E-58

N = 14

Cycle #1
[a, b] = [1, 1]    0.E-58
[a, b] = [1, 2]    -3.8228112935236648686306291296746189066 E-44
[a, b] = [1, 3]    -2.0654440134507844696 E-44
[a, b] = [1, 4]    1.9389482575051407872 E-45
[a, b] = [1, 5]    1.5674890296698659680 E-44
[a, b] = [1, 6]    -3.1206736523429880983945788548962881463 E-44
[a, b] = [1, 7]    6.795154026466420765 E-45
[a, b] = [2, 2]    0.E-58
[a, b] = [2, 3]    6.840087582339474335 E-44
[a, b] = [2, 4]    -1.4937946048259302086 E-46
[a, b] = [2, 5]    -4.6713942847142773483042112025542816619 E-44
